instance,run,cmax,time
tai20x5,1,1187,0.8
tai20x5,2,1187,0.8
tai20x5,3,1187,0.86
tai20x5,4,1187,0.83
tai20x5,5,1187,0.93
tai20x5,6,1187,1.46
tai20x5,7,1187,1.25
tai20x5,8,1187,0.83
tai20x5,9,1187,0.96
tai20x5,10,1187,0.94
tai50x10,1,2995,1.36
tai50x10,2,3030,1.04
tai50x10,3,3016,0.97
tai50x10,4,2980,2.84
tai50x10,5,2989,2.07
tai50x10,6,2993,1.6
tai50x10,7,2991,1.48
tai50x10,8,3021,1.0
tai50x10,9,3009,0.83
tai50x10,10,3003,0.6
tai100x10,1,5620,1.59
tai100x10,2,5615,4.03
tai100x10,3,5604,2.07
tai100x10,4,5621,2.35
tai100x10,5,5623,1.18
tai100x10,6,5627,2.2
tai100x10,7,5615,2.08
tai100x10,8,5630,1.14
tai100x10,9,5610,2.44
tai100x10,10,5620,1.52
tai100x20,1,6672,2.1
tai100x20,2,6660,2.62
tai100x20,3,6679,1.93
tai100x20,4,6614,4.66
tai100x20,5,6675,1.88
tai100x20,6,6630,2.85
tai100x20,7,6650,3.41
tai100x20,8,6640,2.77
tai100x20,9,6675,1.75
tai100x20,10,6653,2.58
tai200x20,1,11487,16.04
tai200x20,2,11582,6.23
tai200x20,3,11546,12.4
tai200x20,4,11485,16.79
tai200x20,5,11521,12.39
tai200x20,6,11572,8.43
tai200x20,7,11580,6.7
tai200x20,8,11573,7.23
tai200x20,9,11544,9.46
tai200x20,10,11552,9.94
